route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
22,2,1762153154255,"Parque Avellaneda",8721,0,"",8989
22,2,1762153154260,"Parque Avellaneda",8722,0,"",8989
22,2,1762153154268,"Parque Avellaneda",8723,0,"",8989
22,2,1762153154273,"Parque Avellaneda",8724,0,"",8989
22,2,1762153154281,"Parque Avellaneda",8725,0,"",8989
22,2,1762153154286,"Parque Avellaneda",8726,0,"",8989
22,2,1762153154294,"Parque Avellaneda",8727,0,"",8989
22,2,1762153154299,"Parque Avellaneda",8728,0,"",8989
22,2,1762153154398,"Parque Avellaneda",8729,0,"",8989
22,2,1762153154411,"Parque Avellaneda",8730,0,"",8989
22,2,1762153154424,"Parque Avellaneda",8731,0,"",8989
22,2,1762153154437,"Parque Avellaneda",8732,0,"",8989
22,2,1762153154450,"Parque Avellaneda",8733,0,"",8989
22,2,1762153154463,"Parque Avellaneda",8734,0,"",8989
22,2,1762153155074,"Parque Avellaneda",8735,0,"",8989
22,2,1762153155087,"Parque Avellaneda",8736,0,"",8989
22,2,1762153155100,"Parque Avellaneda",8737,0,"",8989
22,2,1762153155113,"Parque Avellaneda",8738,0,"",8989
22,2,1762153155126,"Parque Avellaneda",8739,0,"",8989
22,2,1762153155139,"Parque Avellaneda",8740,0,"",8989
22,2,1762153155243,"Parque Avellaneda",8741,0,"",8989
22,2,1762153155269,"Parque Avellaneda",8742,0,"",8989
22,2,1762153155295,"Parque Avellaneda",8743,0,"",8989
22,2,1762153155412,"Parque Avellaneda",8744,0,"",8989
22,2,1762153155438,"Parque Avellaneda",8745,0,"",8989
22,2,1762153155464,"Parque Avellaneda",8746,0,"",8989
22,2,1762153155581,"Parque Avellaneda",8747,0,"",8989
22,2,1762153155607,"Parque Avellaneda",8748,0,"",8989
22,2,1762153155633,"Parque Avellaneda",8749,0,"",8989
580,2,56968342,"Retiro",2885,1,"",8988
580,2,22944107285853,"Retiro",8984,1,"",8988
580,2,22944107286022,"Retiro",8985,1,"",8988
580,2,22944107286191,"Retiro",8986,1,"",8988
580,2,22944107286360,"Retiro",8987,1,"",8988
580,2,22944107286529,"Retiro",8988,1,"",8988
580,2,22944107286698,"Retiro",8989,1,"",8988
580,2,22944107286724,"Retiro",8990,1,"",8988
580,2,22944107286750,"Retiro",8991,1,"",8988
580,2,22944107286867,"Retiro",8992,1,"",8988
580,2,22944107286880,"Retiro",8993,1,"",8988
580,2,22944107286893,"Retiro",8994,1,"",8988
580,2,22944107286906,"Retiro",8995,1,"",8988
580,2,22944107286919,"Retiro",8996,1,"",8988
580,2,22944107286932,"Retiro",8997,1,"",8988
580,2,22944107287036,"Retiro",8998,1,"",8988
580,2,22944107287049,"Retiro",8999,1,"",8988
580,2,22944107287062,"Retiro",9000,1,"",8988
580,2,22944107287075,"Retiro",9001,1,"",8988
580,2,22944107287088,"Retiro",9002,1,"",8988
580,2,22944107287101,"Retiro",9003,1,"",8988
580,2,22944107287205,"Retiro",9004,1,"",8988
580,2,22944107287210,"Retiro",9005,1,"",8988
580,2,22944107287218,"Retiro",9006,1,"",8988
580,2,22944107287223,"Retiro",9007,1,"",8988
580,2,22944107287231,"Retiro",9008,1,"",8988
580,2,22944107287236,"Retiro",9009,1,"",8988
580,2,22944107287244,"Retiro",9010,1,"",8988
580,2,22944107287249,"Retiro",9011,1,"",8988
580,2,22944107287257,"Retiro",9012,1,"",8988
580,2,22944107287262,"Retiro",9013,1,"",8988
580,2,22944107287270,"Retiro",9014,1,"",8988
580,2,22944107287275,"Retiro",9015,1,"",8988
580,2,22944107287374,"Retiro",9016,1,"",8988
580,2,22944107287379,"Retiro",9017,1,"",8988
580,2,22944107287387,"Retiro",9018,1,"",8988
580,2,22944107287392,"Retiro",9019,1,"",8988
580,2,22944107287400,"Retiro",9020,1,"",8988
580,2,22944107287405,"Retiro",9021,1,"",8988
580,2,22944107287413,"Retiro",9022,1,"",8988
580,2,22944107287418,"Retiro",9023,1,"",8988
580,2,22944107287426,"Retiro",9024,1,"",8988
580,2,22944107287431,"Retiro",9025,1,"",8988
580,2,22944107287439,"Retiro",9026,1,"",8988
580,2,22944107287444,"Retiro",9027,1,"",8988
580,2,22944107288050,"Retiro",9028,1,"",8988
580,2,22944107288068,"Retiro",9029,1,"",8988
580,2,22944107288089,"Retiro",9030,1,"",8988
580,2,22944107288107,"Retiro",9031,1,"",8988
580,2,22944107288219,"Retiro",9032,1,"",8988
580,2,22944107288237,"Retiro",9033,1,"",8988
580,2,22944107288258,"Retiro",9034,1,"",8988
580,2,22944107288276,"Retiro",9035,1,"",8988
580,2,22944107288388,"Retiro",9036,1,"",8988
580,2,22944107288406,"Retiro",9037,1,"",8988
580,2,22944107288427,"Retiro",9038,1,"",8988
580,2,22944107288445,"Retiro",9039,1,"",8988
580,2,22944107288557,"Retiro",9040,1,"",8988
580,2,22944107288575,"Retiro",9041,1,"",8988
580,2,22944107288596,"Retiro",9042,1,"",8988
580,2,22944107288614,"Retiro",9043,1,"",8988
580,2,22944107288726,"Retiro",9044,1,"",8988
580,2,22944107288744,"Retiro",9045,1,"",8988
580,2,22944107288765,"Retiro",9046,1,"",8988
580,2,22944107288783,"Retiro",9047,1,"",8988
580,2,22944107288895,"Retiro",9048,1,"",8988
580,2,22944107288913,"Retiro",9049,1,"",8988
580,2,22944107288934,"Retiro",9050,1,"",8988
580,2,22944107288952,"Retiro",9051,1,"",8988
580,2,22944107289064,"Retiro",9052,1,"",8988
580,2,22944107289082,"Retiro",9053,1,"",8988
580,2,22944107289103,"Retiro",9054,1,"",8988
580,2,22944107289121,"Retiro",9055,1,"",8988
580,2,22944107289233,"Retiro",9056,1,"",8988
580,2,22944107289238,"Retiro",9057,1,"",8988
580,2,22944107289246,"Retiro",9058,1,"",8988
580,2,22944107289251,"Retiro",9059,1,"",8988
580,2,22944107289259,"Retiro",9060,1,"",8988
580,2,22944107289264,"Retiro",9061,1,"",8988
580,2,22944107289272,"Retiro",9062,1,"",8988
580,2,22944107289277,"Retiro",9063,1,"",8988
580,2,22944107289285,"Retiro",9064,1,"",8988
580,2,22944107289290,"Retiro",9065,1,"",8988
580,2,22944107289298,"Retiro",9066,1,"",8988
580,2,22944107289303,"Retiro",9067,1,"",8988
580,2,22944107289402,"Retiro",9068,1,"",8988
580,2,22944107289407,"Retiro",9069,1,"",8988
580,2,22944107289415,"Retiro",9070,1,"",8988
580,2,22944107289420,"Retiro",9071,1,"",8988
580,2,22944107289428,"Retiro",9072,1,"",8988
580,2,22944107289433,"Retiro",9073,1,"",8988
580,2,22944107289441,"Retiro",9074,1,"",8988
580,2,22944107289446,"Retiro",9075,1,"",8988
580,2,22944107289454,"Retiro",9076,1,"",8988
580,2,22944107289459,"Retiro",9077,1,"",8988
580,2,22944107289467,"Retiro",9078,1,"",8988
580,2,22944107289472,"Retiro",9079,1,"",8988
580,2,22944107289571,"Retiro",9080,1,"",8988
580,2,22944107289584,"Retiro",9081,1,"",8988
580,2,22944107289597,"Retiro",9082,1,"",8988
580,2,22944107289610,"Retiro",9083,1,"",8988
580,2,22944107289623,"Retiro",9084,1,"",8988
580,2,22944107289636,"Retiro",9085,1,"",8988
580,2,22944107290247,"Retiro",9086,1,"",8988
580,2,22944107290260,"Retiro",9087,1,"",8988
580,2,22944107290273,"Retiro",9088,1,"",8988
580,2,22944107290286,"Retiro",9089,1,"",8988
580,2,22944107290299,"Retiro",9090,1,"",8988
580,2,22944107290312,"Retiro",9091,1,"",8988
580,2,22944107290416,"Retiro",9092,1,"",8988
580,2,22944107290442,"Retiro",9093,1,"",8988
580,2,22944107290468,"Retiro",9094,1,"",8988
580,2,22944107290585,"Retiro",9095,1,"",8988
580,2,22944107290611,"Retiro",9096,1,"",8988
580,2,22944107290637,"Retiro",9097,1,"",8988
580,2,22944107290754,"Retiro",9098,1,"",8988
580,2,22944107290780,"Retiro",9099,1,"",8988
580,2,22944107290806,"Retiro",9100,1,"",8988
23,2,4374866,"Barrio Samoré",2888,0,"",8773
23,2,1762215899197,"Barrio Samoré",9335,0,"",8773
23,2,1762215899366,"Barrio Samoré",9336,0,"",8773
23,2,1762215899535,"Barrio Samoré",9337,0,"",8773
