,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
16602,8787,-34.5995494598,-58.4189992528,117
16603,8787,-34.599499456,-58.4190952282,118
16604,8787,-34.5989584576,-58.4202451838,119
16605,8787,-34.5989084538,-58.4203442151,120
16606,8787,-34.5989924884,-58.4203601782,121
16607,8787,-34.599306442,-58.4204092048,122
16608,8787,-34.5995174278,-58.4204431775,123
16609,8787,-34.6000294705,-58.4205151238,124
16610,8787,-34.6006343829,-58.4206021309,125
16611,8787,-34.6007074148,-58.4206091976,126
16612,8787,-34.6007763911,-58.4206211223,127
16613,8787,-34.6018404192,-58.420772104,128
16614,8787,-34.6019133626,-58.420784117,129
16615,8787,-34.6019813455,-58.4207910966,130
16616,8787,-34.6030623252,-58.4209480991,131
16617,8787,-34.6031773742,-58.4209631486,132
16618,8787,-34.6032953985,-58.4209781067,133
16619,8787,-34.6035103494,-58.4210071343,134
16620,8787,-34.6048262923,-58.4211860566,135
16621,8787,-34.6048953574,-58.4211941154,136
16622,8787,-34.6049643306,-58.4211971382,137
16623,8787,-34.605934302,-58.4212940437,138
16624,8787,-34.6060103077,-58.4212970631,139
16625,8787,-34.6060833398,-58.4213051201,140
16626,8787,-34.6066903123,-58.4213560755,141
16627,8787,-34.6071902628,-58.4214000707,142
16628,8787,-34.6072662685,-58.4214030902,143
16629,8787,-34.607343269,-58.4214151025,144
16630,8787,-34.6085705397,-58.4215398881,145
16631,8787,-34.6098052217,-58.4213081027,146
16632,8787,-34.6100427202,-58.4212676133,147
16633,8787,-34.6108310658,-58.4211357046,148
16634,8787,-34.6110491655,-58.4210800274,149
16635,8787,-34.6113472183,-58.4210370667,150
16636,8787,-34.611465136,-58.4210050794,151
16637,8787,-34.6115081781,-58.4211090245,152
16638,8787,-34.6120441409,-58.4223259659,153
16639,8787,-34.6120741899,-58.4224030275,154
16640,8787,-34.6123041855,-58.4229399325,155
16641,8787,-34.6125681889,-58.423537982,156
16642,8787,-34.6125991348,-58.4236029025,157
16643,8787,-34.6126291816,-58.4236759178,158
16644,8787,-34.6128931785,-58.4242648882,159
16645,8787,-34.6131641217,-58.4248758941,160
